IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
113251,AXI_Qj5zSfYPAADgXGe7,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113252,AXI_Qj5zSfYPAADgXGe8,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113253,AXI_Qj5zSfYPAADgXGe9,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113254,AXI_Qj5zSfYPAADgXGe-,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113255,AXI_Qj5zSfYPAADgXGe_,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113256,AXI_Qj5zSfYPAADgXGfA,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113257,AXI_Qj5zSfYPAADgXGfB,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113258,AXI_Qj5zSfYPAADgXGfC,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifestParser.java
113259,AXI_Qj6dSfYPAADgXGfD,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java
113260,AXI_Qj6dSfYPAADgXGfE,CodeSmell,1453,MAJOR,"Put single-quotes around '$' to use the faster ""indexOf(char)"" method.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java
113261,AXI_Qj6dSfYPAADgXGfF,CodeSmell,1453,MAJOR,"Put single-quotes around '$' to use the faster ""indexOf(char)"" method.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java
113262,AXI_Qj64SfYPAADgXGfG,CodeSmell,1509,MAJOR,"Method has 10 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/Representation.java
113263,AXI_Qj94SfYPAADgXGfH,CodeSmell,1509,MAJOR,"Constructor has 11 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifest.java
113264,AXI_Qj94SfYPAADgXGfI,CodeSmell,1509,MAJOR,"Constructor has 12 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifest.java
113265,AXI_Qj94SfYPAADgXGfJ,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifest.java
113266,AXI_Qj94SfYPAADgXGfK,CodeSmell,1829,MAJOR,Extract this nested ternary operation into an independent statement.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/DashManifest.java
113267,AXI_QkBtSfYPAADgXGfL,CodeSmell,524,MAJOR,2 duplicated blocks of code must be removed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113268,AXI_QkBtSfYPAADgXGfM,CodeSmell,1509,MAJOR,"Constructor has 8 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113269,AXI_QkBtSfYPAADgXGfN,CodeSmell,1509,MAJOR,"Constructor has 11 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113270,AXI_QkBtSfYPAADgXGfO,CodeSmell,1509,MAJOR,"Constructor has 8 parameters, which is greater than 7 authorized.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
